ID,region,date
EPI_ISL_10497966,Yurihama,25/1/2022
EPI_ISL_10497963,USA,25/1/2022
EPI_ISL_10506234,Denmark,21/2/2022
EPI_ISL_10246626,Montenegro,14/1/2022
EPI_ISL_10485469,Switzerland,15/2/2022
EPI_ISL_10493803,Switzerland,7/2/2022
EPI_ISL_10493804,Switzerland,8/2/2022
EPI_ISL_10506228,Denmark,17/2/2022
EPI_ISL_10497980,Finland,25/1/2022
EPI_ISL_10497988,USA,25/1/2022
EPI_ISL_10497986,USA,25/1/2022
EPI_ISL_10497987,USA,25/1/2022
EPI_ISL_10497979,Bayamon,25/1/2022
EPI_ISL_10497984,USA,25/1/2022
EPI_ISL_10497985,Puerto Rico,25/1/2022
EPI_ISL_10497991,USA,25/1/2022
EPI_ISL_10498019,USA,26/1/2022
EPI_ISL_10497978,USA,25/1/2022
EPI_ISL_10498013,USA,26/1/2022
EPI_ISL_10498003,USA,25/1/2022
EPI_ISL_10498004,USA,25/1/2022
EPI_ISL_10497998,USA,25/1/2022
EPI_ISL_10498005,Puerto Rico,25/1/2022
EPI_ISL_10498011,USA,26/1/2022
EPI_ISL_10497993,USA,25/1/2022
EPI_ISL_10498002,USA,25/1/2022
EPI_ISL_10498012,USA,26/1/2022
EPI_ISL_10497997,Puerto Rico,25/1/2022
EPI_ISL_10497994,USA,25/1/2022
EPI_ISL_10498010,USA,26/1/2022
EPI_ISL_10498001,USA,25/1/2022
EPI_ISL_10498009,USA,26/1/2022
EPI_ISL_10498000,USA,25/1/2022
EPI_ISL_10497995,USA,25/1/2022
EPI_ISL_10498006,USA,25/1/2022
EPI_ISL_10497999,USA,25/1/2022
EPI_ISL_10498007,USA,25/1/2022
EPI_ISL_10498008,USA,26/1/2022
EPI_ISL_10497996,USA,25/1/2022
EPI_ISL_10498020,USA,26/1/2022
EPI_ISL_10497302,Pakistan,16/2/2022
EPI_ISL_10498015,USA,26/1/2022
EPI_ISL_10498014,USA,26/1/2022
EPI_ISL_10498016,USA,26/1/2022
EPI_ISL_10498033,USA,26/1/2022
EPI_ISL_10497304,Pakistan,17/2/2022
EPI_ISL_10498038,USA,26/1/2022
EPI_ISL_10498042,USA,27/1/2022
EPI_ISL_10498041,USA,27/1/2022
EPI_ISL_10496627,New Caledonia,6/2/2022
EPI_ISL_10498037,USA,26/1/2022
EPI_ISL_10498021,USA,26/1/2022
EPI_ISL_10498017,USA,26/1/2022
EPI_ISL_10505133,England,2022-00-00
EPI_ISL_10498039,USA,26/1/2022
EPI_ISL_10498040,USA,26/1/2022
EPI_ISL_10498018,USA,26/1/2022
EPI_ISL_10498036,USA,26/1/2022
EPI_ISL_10498026,USA,26/1/2022
EPI_ISL_10496631,NewCaledonia,27/1/2022
EPI_ISL_10498035,USA,26/1/2022
EPI_ISL_10498032,USA,26/1/2022
EPI_ISL_10496626,New Caledonia,3/1/2022
EPI_ISL_10498024,USA,26/1/2022
EPI_ISL_10498029,USA,26/1/2022
EPI_ISL_10498031,USA,26/1/2022
EPI_ISL_10498027,USA,26/1/2022
EPI_ISL_10498028,USA,26/1/2022
EPI_ISL_10498025,USA,26/1/2022
EPI_ISL_10498046,USA,27/1/2022
EPI_ISL_10498057,USA,27/1/2022
EPI_ISL_10498023,USA,26/1/2022
EPI_ISL_10498034,USA,26/1/2022
EPI_ISL_10498030,USA,26/1/2022
EPI_ISL_10498047,USA,27/1/2022
EPI_ISL_10498044,USA,27/1/2022
EPI_ISL_10498058,USA,27/1/2022
EPI_ISL_10498055,USA,27/1/2022
EPI_ISL_10498052,USA,27/1/2022
EPI_ISL_10498043,USA,27/1/2022
EPI_ISL_10498054,USA,27/1/2022
EPI_ISL_10498051,USA,27/1/2022
EPI_ISL_10498059,USA,27/1/2022
EPI_ISL_10498048,USA,27/1/2022
EPI_ISL_10498049,USA,27/1/2022
EPI_ISL_10498060,USA,27/1/2022
EPI_ISL_10498066,USA,28/1/2022
EPI_ISL_10498062,USA,27/1/2022
EPI_ISL_10498065,USA,28/1/2022
EPI_ISL_10498050,USA,27/1/2022
EPI_ISL_10498056,USA,27/1/2022
EPI_ISL_10498064,USA,28/1/2022
EPI_ISL_10498069,USA,31/1/2022
EPI_ISL_10498053,USA,27/1/2022
EPI_ISL_10506222,Denmark,20/2/2022
EPI_ISL_10498063,USA,27/1/2022
EPI_ISL_10498071,USA,31/1/2022
EPI_ISL_10498061,USA,27/1/2022
EPI_ISL_10506490,England,13/1/2022
EPI_ISL_10506223,Denmark,20/2/2022
EPI_ISL_10498070,USA,31/1/2022
EPI_ISL_10505323,Poland,11/2/2022
EPI_ISL_10506245,Denmark,18/2/2022
EPI_ISL_10498068,USA,31/1/2022
EPI_ISL_10505139,England,13/2/2022
EPI_ISL_10498067,USA,28/1/2022
EPI_ISL_10506234,Denmark,21/2/2022
EPI_ISL_10246626,Montenegro,14/1/2022
EPI_ISL_10246625,Montenegro,14/1/2022
EPI_ISL_10485469,Switzerland,15/2/2022
EPI_ISL_10493803,Switzerland,7/2/2022
EPI_ISL_10493804,Switzerland,8/2/2022
EPI_ISL_10506228,Denmark,17/2/2022
EPI_ISL_10484936,Switzerland,16/2/2022
EPI_ISL_10483608,Switzerland,11/2/2022
EPI_ISL_10484819,Switzerland,17/2/2022
EPI_ISL_10506240,England,2022-00-00
EPI_ISL_10485227,Switzerland,15/2/2022
EPI_ISL_10483728,Switzerland,16/2/2022
EPI_ISL_10485476,Switzerland,15/2/2022
EPI_ISL_10484811,Switzerland,17/2/2022
EPI_ISL_10484256,Switzerland,17/2/2022
EPI_ISL_10483841,Switzerland,14/2/2022
EPI_ISL_10484136,Switzerland,18/2/2022
EPI_ISL_10505329,Poland,17/2/2022
EPI_ISL_10504500,India,17/1/2022
EPI_ISL_10506242,England,30/1/2022
EPI_ISL_10483674,Switzerland,13/2/2022
EPI_ISL_10483708,Switzerland,16/2/2022
EPI_ISL_10484118,Switzerland,18/2/2022
EPI_ISL_10484918,Switzerland,18/2/2022
EPI_ISL_10483826,Switzerland,14/2/2022
EPI_ISL_10483825,Switzerland,13/2/2022
EPI_ISL_10483821,Switzerland,13/2/2022
EPI_ISL_10483836,Switzerland,14/2/2022
EPI_ISL_10485688,Switzerland,14/2/2022
EPI_ISL_10485454,Switzerland,14/2/2022
EPI_ISL_10485112,Switzerland,14/2/2022
EPI_ISL_10485475,Switzerland,16/2/2022
EPI_ISL_10485352,Switzerland,15/2/2022
EPI_ISL_10485212,Switzerland,16/2/2022
EPI_ISL_10505325,Poland,17/2/2022
EPI_ISL_10505332,Poland,6/2/2022
EPI_ISL_10485474,Switzerland,14/2/2022
EPI_ISL_10485872,Switzerland,13/2/2022
EPI_ISL_10497542,Poland,12/2/2022
EPI_ISL_10485473,Switzerland,14/2/2022
EPI_ISL_10485461,Switzerland,14/2/2022
EPI_ISL_10483292,Switzerland,15/2/2022
EPI_ISL_10484488,Switzerland,17/2/2022
EPI_ISL_10506236,Denmark,20/2/2022
EPI_ISL_10483952,Switzerland,14/2/2022
EPI_ISL_10484007,Switzerland,14/2/2022
EPI_ISL_10485077,Switzerland,14/2/2022
EPI_ISL_10485335,Switzerland,15/2/2022
